num_distr,mouse.time,mouse.clicked_name,,,,num_distr,mouse.time,mouse.clicked_name,,,,,,num_distr,mouse.time,mouse.clicked_name,,,,,num_distr,mouse.time,mouse.clicked_name,,,
5,1.1864032,target,,,,5,1.1864032,target,,,,,,10,1.0595066,target,,,,,5,1.1864032,target,,,
10,1.441568,,,,,5,1.8067683,target,,,,,,10,1.4575485,target,,,,,5,1.8067683,target,,mean rt,1.301207639
5,0.9336692,,,,,5,1.0539465,target,,,,,,10,1.7266326,target,,,,,10,1.0595066,target,,,
5,1.8067683,target,,,,5,1.1545862,target,,,mean rt,1.189975605,,10,1.059843,target,,mean rt,1.414265697,,5,1.0539465,target,,,
10,1.0595066,target,,,,5,1.1198933,target,,,,,,10,1.0783801,target,,,,,5,1.1545862,target,,,
5,1.0539465,target,,,,5,1.088469,target,,,,,,10,1.8934964,target,,,,,10,1.4575485,target,,,
5,1.1545862,target,,,,5,1.2022644,target,,,,,,10,1.2414999,target,,,,,10,1.7266326,target,,,
10,1.4575485,target,,,,5,1.0507935,target,,,,,,10,1.3258388,target,,,,,10,1.059843,target,,,
10,1.7266326,target,,,,5,1.167891,target,,,,,,10,1.1719553,target,,,,,10,1.0783801,target,,,
10,1.059843,target,,,,5,1.1713439,target,,,,,,10,1.4408653,target,,,,,10,1.8934964,target,,,
10,1.0783801,target,,,,5,1.3022278,target,,,,,,10,1.5945326,target,,,,,5,1.1198933,target,,,
10,1.0262472,,,,,5,1.2530982,target,,,,,,10,1.8937893,target,,,,,10,1.2414999,target,,,
10,1.8934964,target,,,,5,1.0535407,target,,,,,,10,0.859442,target,,,,,5,1.088469,target,,,
5,1.1198933,target,,,,5,1.0383346,target,,,,,,10,0.8266466,target,,,,,10,1.3258388,target,,,
5,1.052094,,,,,5,1.0893636,target,,,,,,10,1.6133887,target,,,,,5,1.2022644,target,,,
10,1.2414999,target,,,,5,1.468179,target,,,,,,10,2.2110463,target,,,,,5,1.0507935,target,,,
5,1.088469,target,,,,5,1.2700574,target,,,,,,10,1.011004,target,,,,,5,1.167891,target,,,
10,1.3258388,target,,,,5,0.8879208,target,,,,,,10,1.5112492,target,,,,,5,1.1713439,target,,,
5,1.2022644,target,,,,5,0.981437,target,,,,,,10,1.279263,target,,,,,5,1.3022278,target,,,
5,1.0507935,target,,,,5,0.7877965,target,,,,,,10,1.2587431,target,,,,,10,1.1719553,target,,,
5,1.167891,target,,,,5,1.0718002,target,,,,,,10,1.3457132,target,,,,,5,1.2530982,target,,,
5,1.1713439,target,,,,5,1.1863068,target,,,,,,10,1.0955492,target,,,,,10,1.4408653,target,,,
5,1.3022278,target,,,,5,1.2230134,target,,,,,,10,1.0622223,target,,,,,10,1.5945326,target,,,
10,1.1719553,target,,,,5,1.2889308,target,,,,,,10,1.2099954,target,,,,,5,1.0535407,target,,,
5,1.2530982,target,,,,5,1.222066,target,,,,,,10,1.3439648,target,,,,,10,1.8937893,target,,,
10,1.4408653,target,,,,5,1.0723106,target,,,,,,10,1.0756269,target,,,,,10,0.859442,target,,,
10,1.5945326,target,,,,5,1.1350727,target,,,,,,10,1.7907799,target,,,,,10,0.8266466,target,,,
5,1.0535407,target,,,,5,0.9716381,target,,,,,,10,1.6780956,target,,,,,5,1.0383346,target,,,
10,1.8937893,target,,,,5,1.1891235,target,,,,,,10,1.3436282,target,,,,,10,1.6133887,target,,,
10,0.859442,target,,,,5,1.2893193,target,,,,,,10,1.0443218,target,,,,,10,2.2110463,target,,,
10,0.8266466,target,,,,5,1.255599,target,,,,,,10,1.2606541,target,,,,,5,1.0893636,target,,,
5,0.9385169,,,,,5,1.087392,target,,,,,,10,1.2250307,target,,,,,5,1.468179,target,,,
10,0.9927443,,,,,5,1.4875435,target,,,,,,10,1.8099792,target,,,,,10,1.011004,target,,,
5,1.0383346,target,,,,5,1.0886447,target,,,,,,10,1.3969452,target,,,,,5,1.2700574,target,,,
10,1.6133887,target,,,,5,1.1206764,target,,,,,,10,2.2444872,target,,,,,5,0.8879208,target,,,
10,2.2110463,target,,,,5,1.0342498,target,,,,,,10,3.1935521,target,,,,,10,1.5112492,target,,,
5,1.0893636,target,,,,5,1.7731801,target,,,,,,10,1.3104783,target,,,,,5,0.981437,target,,,
5,1.468179,target,,,,5,1.407221,target,,,,,,10,1.0578704,target,,,,,5,0.7877965,target,,,
10,1.011004,target,,,,5,2.0689422,target,,,,,,10,1.0116915,target,,,,,10,1.279263,target,,,
5,1.2700574,target,,,,5,1.5899332,target,,,,,,10,2.7274459,target,,,,,5,1.0718002,target,,,
5,0.8879208,target,,,,5,1.1906232,target,,,,,,10,0.9919074,target,,,,,10,1.2587431,target,,,
10,1.5112492,target,,,,5,1.2532014,target,,,,,,10,0.9285822,target,,,,,10,1.3457132,target,,,
5,0.981437,target,,,,5,1.1222932,target,,,,,,10,1.3287564,target,,,,,10,1.0955492,target,,,
5,0.7877965,target,,,,5,0.955926,target,,,,,,10,1.0179719,target,,,,,10,1.0622223,target,,,
10,1.8940088,,,,,5,1.7165591,target,,,,,,10,1.8955543,target,,,,,5,1.1863068,target,,,
10,1.279263,target,,,,5,1.0027153,target,,,,,,10,1.1098945,target,,,,,10,1.2099954,target,,,
5,1.0718002,target,,,,5,0.9036355,target,,,,,,10,2.6084102,target,,,,,10,1.3439648,target,,,
10,1.2587431,target,,,,5,1.0390353,target,,,,,,10,1.2926964,target,,,,,5,1.2230134,target,,,
