num_distr,mouse.time,mouse.clicked_name,,,,num_distr,mouse.time,mouse.clicked_name,,,,num_distr,mouse.time,mouse.clicked_name,,,,num_distr,mouse.time,mouse.clicked_name,,,
5,1.7500478,Target,,,,5,2.0328676,Target,,,,10,1.3730833,Target,,,,5,1.7500478,Target,,,
10,1.836862,Target,,,,5,2.0475138,Target,,,,10,1.7733878,Target,,,,10,1.836862,Target,,,
10,1.475954,Target,,,,5,1.1640357,Target,,,,10,1.8752873,Target,,,,10,1.475954,Target,,,
5,1.4403294,Target,,,,5,1.4973071,Target,,,,10,1.3536788,Target,,,,5,1.4403294,Target,,,
5,2.0937261,Target,,,,5,1.3810592,Target,,,,10,1.452005,Target,,,,5,2.0937261,Target,,,
10,1.921498,Target,,,,5,1.3317095,Target,,,,10,2.589284,Target,,,,10,1.921498,Target,,,
5,1.8158755,Target,,,,5,1.7923486,Target,,,,10,1.7096786,Target,,,,5,1.8158755,Target,,,
5,0.8787381,Target,,,,5,1.7981951,Target,,,,10,2.2874949,Target,,,,5,0.8787381,Target,,,
5,1.7030266,Target,,,,5,2.1169622,Target,,,,10,1.4316804,Target,,,,5,1.7030266,Target,,,
10,1.6592471,Target,,,,5,1.2990833,Target,,,,10,1.8245824,Target,,,,10,1.6592471,Target,,,
10,1.0398322,Target,,,,5,1.3345512,Target,,,,10,1.0940343,Target,,,,10,1.0398322,Target,,,
10,1.2599027,Target,,,,5,1.9130628,Target,,,,10,2.7232778,Target,,,,10,1.2599027,Target,,,
10,1.8852027,Target,,,,5,1.5181511,Target,,,,10,2.2103609,Target,,,,10,1.8852027,Target,,,
5,1.0662176,Target,,,,5,1.8135608,Target,,,,10,1.5613785,Target,,,,5,1.0662176,Target,,,
5,1.5782405,Target,,,,5,1.4497615,Target,,,,10,1.8398398,Target,,,,5,1.5782405,Target,,,
5,1.3695163,Target,,,,5,1.9339823,Target,,,,10,1.9899457,Target,,,,5,1.3695163,Target,,,
10,1.7937894,Target,,,,5,1.350921,Target,,,,10,1.4552148,Target,,,,10,1.7937894,Target,,,
5,1.0492387,Target,,,,5,1.9799628,Target,,,,10,1.3899405,Target,,,,5,1.0492387,Target,,,
10,1.6107021,Target,,,,5,1.8696012,Target,,,,10,1.4078925,Target,,,,10,1.6107021,Target,,,
5,1.75126,Target,,,,5,1.4354508,Target,,,,10,2.0818635,Target,,,,5,1.75126,Target,,,
5,1.3867023,Target,,,,5,1.700086,Target,,,,10,3.6077427,Target,,,,5,1.3867023,Target,,,
