num_distr,mouse.time,mouse.clicked_name,,,,num_distr,mouse.time,mouse.clicked_name,,,,num_distr,mouse.time,mouse.clicked_name,,,
5,1.923282,Target,,,,5,1.3166126,Target,,,,10,1.3828225,Target,,,
10,2.0496691,Target,,,,5,2.1515193,Target,,,,10,1.7636993,Target,,,
5,1.8364608,Target,,,,5,1.988111,Target,,,,10,2.4255002,Target,,,
10,1.2403866,Target,,,,5,2.0474761,Target,,,,10,1.5078579,Target,,,
10,1.6715741,Target,,,,5,2.5286212,Target,,,,10,1.4219197,Target,,,
5,2.1817953,Target,,,,5,2.1839501,Target,,,,10,2.7572785,Target,,,
10,1.4271277,Target,,,,5,1.4411738,Target,,,,10,2.0689208,Target,,,
10,1.3766681,Target,,,,5,2.3640373,Target,,,,10,2.8040883,Target,,,
5,1.9782833,Target,,,,5,2.5519841,Target,,,,10,1.802417,Target,,,
5,2.2194583,Target,,,,5,1.9818504,Target,,,,10,1.6093987,Target,,,
10,1.7702888,Target,,,,5,1.1833748,Target,,,,10,1.5992027,Target,,,
5,1.6875384,Target,,,,5,2.1283754,Target,,,,10,1.8740022,Target,,,
10,1.6880499,Target,,,,5,1.4806823,Target,,,,10,1.6898997,Target,,,
5,2.6332916,Target,,,,5,1.2810048,Target,,,,10,1.8395309,Target,,,
5,1.3682601,Target,,,,5,1.4151013,Target,,,,10,2.1274407,Target,,,
10,1.4326576,Target,,,,5,2.3168444,Target,,,,10,1.5763399,Target,,,
5,1.701173,Target,,,,5,1.3483072,Target,,,,10,1.2280902,Target,,,
5,1.8116021,Target,,,,5,1.5658273,Target,,,,10,3.226535,Target,,,
5,1.4724896,Target,,,,5,1.6983726,Target,,,,10,2.2109852,Target,,,
10,1.4517949,Target,,,,5,1.9811579,Target,,,,10,2.0851514,Target,,,
5,1.667313,Target,,,,5,1.7376126,Target,,,,10,1.6850971,Target,,,
10,1.5703312,Target,,,,5,2.0184771,Target,,,,10,2.661263,Target,,,
5,1.3419365,Target,,,,,,,,,,10,1.9211696,Target,,,
5,2.2808901,Target,,,,,,,,,,10,2.7226272,Target,,,
5,1.6945162,Target,,,,,,,,,,10,1.8035596,Target,,,
5,1.3838565,Target,,,,,,,,,,10,1.578976,Target,,,
5,1.3980833,Target,,,,,,,,,,10,1.4578645,Target,,,
10,4.1647732,Target,,,,,,,,,,10,1.372192,Target,,,
10,1.8603829,Target,,,,,,,,,,10,2.0722776,Target,,,
10,1.6744739,Target,,,,,,,,,,10,1.4435888,Target,,,
10,2.3268281,Target,,,,,,,,,,,,,,,
10,2.3897361,Target,,,,,,,,,,,,,,,
10,1.573868,Target,,,,,,,,,,,,,,,
5,1.6484354,Target,,,,,,,,,,,,,,,
10,1.8087694,Target,,,,,,,,,,,,,,,
5,1.2366401,Target,,,,,,,,,,,,,,,
10,2.5714048,Target,,,,,,,,,,,,,,,
10,2.9111072,Target,,,,,,,,,,,,,,,
5,2.0315325,Target,,,,,,,,,,,,,,,
5,1.4841894,Target,,,,,,,,,,,,,,,
5,1.9003151,Target,,,,,,,,,,,,,,,
5,2.1542094,Target,,,,,,,,,,,,,,,
10,1.5797427,Target,,,,,,,,,,,,,,,
10,2.0268696,Target,,,,,,,,,,,,,,,
10,1.5238641,Target,,,,,,,,,,,,,,,
10,3.0770307,Target,,,,,,,,,,,,,,,
5,1.6991075,Target,,,,,,,,,,,,,,,
5,1.634462,Target,,,,,,,,,,,,,,,
10,1.3941631,Target,,,,,,,,,,,,,,,
5,1.9412058,Target,,,,,,,,,,,,,,,
10,2.3052711,Target,,,,,,,,,,,,,,,
5,1.7481883,Target,,,,,,,,,,,,,,,
10,2.2073137,Target,,,,,,,,,,,,,,,
10,1.9386006,Target,,,,,,,,,,,,,,,
5,1.5504787,Target,,,,,,,,,,,,,,,
10,1.6245173,Target,,,,,,,,,,,,,,,
5,2.0726837,Target,,,,,,,,,,,,,,,
10,1.9887537,Target,,,,,,,,,,,,,,,
10,1.2756873,Target,,,,,,,,,,,,,,,
10,2.2721302,Target,,,,,,,,,,,,,,,
5,1.8331847,Target,,,,,,,,,,,,,,,
10,1.9149665,Target,,,,,,,,,,,,,,,
5,1.54232,Target,,,,,,,,,,,,,,,
10,2.0694818,Target,,,,,,,,,,,,,,,
5,1.6469282,Target,,,,,,,,,,,,,,,
5,1.5184417,Target,,,,,,,,,,,,,,,
5,1.8993422,Target,,,,,,,,,,,,,,,
5,2.1617693,Target,,,,,,,,,,,,,,,
10,1.4996718,Target,,,,,,,,,,,,,,,
10,2.4599393,Target,,,,,,,,,,,,,,,
5,1.2975814,Target,,,,,,,,,,,,,,,
10,1.3828225,Target,,,,,,,,,,,,,,,
10,1.7636993,Target,,,,,,,,,,,,,,,
5,1.5243211,Target,,,,,,,,,,,,,,,
5,1.367544,Target,,,,,,,,,,,,,,,
5,2.0155466,Target,,,,,,,,,,,,,,,
5,1.3166126,Target,,,,,,,,,,,,,,,
5,2.1515193,Target,,,,,,,,,,,,,,,
10,2.4255002,Target,,,,,,,,,,,,,,,
5,1.988111,Target,,,,,,,,,,,,,,,
5,2.0474761,Target,,,,,,,,,,,,,,,
5,2.5286212,Target,,,,,,,,,,,,,,,
5,2.1839501,Target,,,,,,,,,,,,,,,
10,1.5078579,Target,,,,,,,,,,,,,,,
5,1.4411738,Target,,,,,,,,,,,,,,,
