cue,key_resp.corr,key_resp.rt,,,,key_resp.corr,cue,key_resp.rt,task_switch_type,,,key_resp.corr,cue,key_resp.rt,task_switch_type,,,,,pasted as values rt
x,1,0.6370455,,,,1,y,0.4060439,hard_to_easy,,,1,y,0.4060439,hard_to_easy,,,avg_easy-to-hard rt,0.344698157,0.697386457
y,1,0.4060439,,,,1,y,0.302999,hard_to_easy,,,1,x,0.7869028,easy_to_hard,,,avg_hard-to-easy rt,0.344698157,0.344698157
y,1,0.3677522,,,,1,y,0.344063699,hard_to_easy,,,1,y,0.302999,hard_to_easy,,,,,
x,1,0.7869028,,,,1,y,0.348069,hard_to_easy,,,1,x,0.8708362,easy_to_hard,,,,,
x,1,0.5079157,,,,1,y,0.3410199,hard_to_easy,,,1,y,0.344063699,hard_to_easy,,,,,
y,1,0.302999,,,,1,y,0.3238709,hard_to_easy,,,1,x,0.7156528,easy_to_hard,,,,,
y,1,0.3897106,,,,1,y,0.3270687,hard_to_easy,,,1,y,0.348069,hard_to_easy,,,,,
x,1,0.8708362,,,,1,y,0.4087704,hard_to_easy,,,1,x,0.5823433,easy_to_hard,,,,,
x,1,0.4890411,,,,1,y,0.3195094,hard_to_easy,,,1,y,0.3410199,hard_to_easy,,,,,
x,1,0.516021499,,,,1,y,0.3664714,hard_to_easy,,,1,x,1.0187992,easy_to_hard,,,,,
y,1,0.344063699,,,,1,y,0.288793,hard_to_easy,,,1,y,0.3238709,hard_to_easy,,,,,
x,1,0.7156528,,,,1,y,0.297713701,hard_to_easy,,,1,x,0.6092234,easy_to_hard,,,,,
y,1,0.348069,,,,1,y,0.2883169,hard_to_easy,,,1,y,0.3270687,hard_to_easy,,,,,
y,1,0.3504775,,,,1,y,0.3738191,hard_to_easy,,,1,x,0.589390799,easy_to_hard,,,,,
x,1,0.5823433,,,,1,y,0.3488647,hard_to_easy,,,1,y,0.4087704,hard_to_easy,,,,,
y,1,0.3410199,,,,1,y,0.3393376,hard_to_easy,,,1,x,0.8306453,easy_to_hard,,,,,
y,1,0.3589912,,,,1,y,0.2753385,hard_to_easy,,,1,y,0.3195094,hard_to_easy,,,,,
x,1,1.0187992,,,,1,y,0.2959858,hard_to_easy,,,1,x,0.6506899,easy_to_hard,,,,,
x,1,0.32956,,,,1,y,0.3088354,hard_to_easy,,,1,y,0.3664714,hard_to_easy,,,,,
y,1,0.3238709,,,,1,y,0.3165593,hard_to_easy,,,1,x,0.4505342,easy_to_hard,,,,,
y,1,0.3420587,,,,1,y,0.5761619,hard_to_easy,,,1,y,0.288793,hard_to_easy,,,,,
x,1,0.6092234,,,,1,y,0.3365494,hard_to_easy,,,1,x,0.796143199,easy_to_hard,,,,,
y,1,0.3270687,,,,1,y,0.3006851,hard_to_easy,,,1,y,0.297713701,hard_to_easy,,,,,
x,1,0.589390799,,,,1,y,0.4025245,hard_to_easy,,,1,x,0.3929241,easy_to_hard,,,,,
y,1,0.4087704,,,,1,y,0.473709401,hard_to_easy,,,1,y,0.2883169,hard_to_easy,,,,,
y,1,0.7006725,,,,1,y,0.3431404,hard_to_easy,,,1,x,0.856376001,easy_to_hard,,,,,
y,1,0.272009199,,,,1,y,0.3485364,hard_to_easy,,,1,y,0.3738191,hard_to_easy,,,,,
x,1,0.8306453,,,,1,y,0.3334621,hard_to_easy,,,1,x,0.7436369,easy_to_hard,,,,,
x,1,0.4095914,,,,1,y,0.2831816,hard_to_easy,,,1,y,0.3488647,hard_to_easy,,,,,
x,1,0.700474801,,,,1,y,0.321543599,hard_to_easy,,,1,x,0.517029299,easy_to_hard,,,,,
x,1,0.4270037,,,,1,x,0.7869028,easy_to_hard,,,1,y,0.3393376,hard_to_easy,,,,,
y,1,0.3195094,,,,1,x,0.8708362,easy_to_hard,,,1,x,0.784124699,easy_to_hard,,,,,
y,1,0.309886901,,,,1,x,0.7156528,easy_to_hard,,,1,y,0.2753385,hard_to_easy,,,,,
x,1,0.6506899,,,,1,x,0.5823433,easy_to_hard,,,1,x,0.491068499,easy_to_hard,,,,,
y,1,0.3664714,,,,1,x,1.0187992,easy_to_hard,,,1,y,0.2959858,hard_to_easy,,,,,
x,1,0.4505342,,,,1,x,0.6092234,easy_to_hard,,,1,x,0.5552209,easy_to_hard,,,,,
y,1,0.288793,,,,1,x,0.589390799,easy_to_hard,,,1,y,0.3088354,hard_to_easy,,,,,
y,1,0.3054664,,,,1,x,0.8306453,easy_to_hard,,,1,x,0.5353071,easy_to_hard,,,,,
x,1,0.796143199,,,,1,x,0.6506899,easy_to_hard,,,1,y,0.3165593,hard_to_easy,,,,,
x,1,0.3823501,,,,1,x,0.4505342,easy_to_hard,,,1,x,0.6455608,easy_to_hard,,,,,
y,1,0.297713701,,,,1,x,0.796143199,easy_to_hard,,,1,y,0.5761619,hard_to_easy,,,,,
x,1,0.3929241,,,,1,x,0.3929241,easy_to_hard,,,1,x,0.387157801,easy_to_hard,,,,,
x,1,0.5817589,,,,1,x,0.856376001,easy_to_hard,,,1,y,0.3365494,hard_to_easy,,,,,
x,1,0.5176554,,,,1,x,0.7436369,easy_to_hard,,,1,x,0.7006431,easy_to_hard,,,,,
x,1,0.5392719,,,,1,x,0.517029299,easy_to_hard,,,1,y,0.3006851,hard_to_easy,,,,,
y,1,0.2883169,,,,1,x,0.784124699,easy_to_hard,,,1,x,1.6005921,easy_to_hard,,,,,
y,1,0.3495129,,,,1,x,0.491068499,easy_to_hard,,,1,y,0.4025245,hard_to_easy,,,,,
y,1,0.3700552,,,,1,x,0.5552209,easy_to_hard,,,1,x,0.364083,easy_to_hard,,,,,
y,1,0.349125501,,,,1,x,0.5353071,easy_to_hard,,,1,y,0.473709401,hard_to_easy,,,,,
y,0,0.326207,,,,1,x,0.6455608,easy_to_hard,,,1,x,0.5059685,easy_to_hard,,,,,
y,1,0.3643411,,,,1,x,0.387157801,easy_to_hard,,,1,y,0.3431404,hard_to_easy,,,,,
x,1,0.856376001,,,,1,x,0.7006431,easy_to_hard,,,1,x,0.648988199,easy_to_hard,,,,,
x,1,0.3516229,,,,1,x,1.6005921,easy_to_hard,,,1,y,0.3485364,hard_to_easy,,,,,
x,1,0.4102696,,,,1,x,0.364083,easy_to_hard,,,1,x,0.5169028,easy_to_hard,,,,,
x,1,0.6363237,,,,1,x,0.5059685,easy_to_hard,,,1,y,0.3334621,hard_to_easy,,,,,
y,1,0.3738191,,,,1,x,0.648988199,easy_to_hard,,,1,x,0.7620038,easy_to_hard,,,,,
x,1,0.7436369,,,,1,x,0.5169028,easy_to_hard,,,1,y,0.2831816,hard_to_easy,,,,,
y,1,0.3488647,,,,1,x,0.7620038,easy_to_hard,,,1,x,1.4377028,easy_to_hard,,,,,
x,1,0.517029299,,,,1,x,1.4377028,easy_to_hard,,,1,y,0.321543599,hard_to_easy,,,,,
y,1,0.3393376,,,,1,x,0.5751422,easy_to_hard,,,1,x,0.5751422,easy_to_hard,,,,,
y,1,0.4002738,,,,1,x,0.6370455,,,,,,,,,,,,
y,1,0.3089798,,,,1,y,0.3677522,,,,,,,,,,,,
x,1,0.784124699,,,,1,x,0.5079157,,,,,,,,,,,,
x,1,0.4769182,,,,1,y,0.3897106,,,,,,,,,,,,
y,1,0.2753385,,,,1,x,0.4890411,,,,,,,,,,,,
x,1,0.491068499,,,,1,x,0.516021499,,,,,,,,,,,,
x,1,0.5053196,,,,1,y,0.3504775,,,,,,,,,,,,
y,1,0.2959858,,,,1,y,0.3589912,,,,,,,,,,,,
x,1,0.5552209,,,,1,x,0.32956,,,,,,,,,,,,
x,1,0.5033589,,,,1,y,0.3420587,,,,,,,,,,,,
y,1,0.3088354,,,,1,y,0.7006725,,,,,,,,,,,,
y,1,0.2628446,,,,1,y,0.272009199,,,,,,,,,,,,
x,1,0.5353071,,,,1,x,0.4095914,,,,,,,,,,,,
x,1,0.400400001,,,,1,x,0.700474801,,,,,,,,,,,,
x,1,0.428477201,,,,1,x,0.4270037,,,,,,,,,,,,
y,0,0.3021457,,,,1,y,0.309886901,,,,,,,,,,,,
y,1,0.3165593,,,,1,y,0.3054664,,,,,,,,,,,,
y,1,0.3435218,,,,1,x,0.3823501,,,,,,,,,,,,
x,0,0.5663523,,,,1,x,0.5817589,,,,,,,,,,,,
y,1,0.3176346,,,,1,x,0.5176554,,,,,,,,,,,,
y,1,0.2993274,,,,1,x,0.5392719,,,,,,,,,,,,
y,1,0.3559643,,,,1,y,0.3495129,,,,,,,,,,,,
y,1,0.362232801,,,,1,y,0.3700552,,,,,,,,,,,,
x,1,0.6455608,,,,1,y,0.349125501,,,,,,,,,,,,
y,1,0.5761619,,,,1,y,0.3643411,,,,,,,,,,,,
x,1,0.387157801,,,,1,x,0.3516229,,,,,,,,,,,,
x,1,0.3740907,,,,1,x,0.4102696,,,,,,,,,,,,
x,1,0.5594368,,,,1,x,0.6363237,,,,,,,,,,,,
x,1,0.5312695,,,,1,y,0.4002738,,,,,,,,,,,,
x,1,0.5414568,,,,1,y,0.3089798,,,,,,,,,,,,
x,1,0.5481663,,,,1,x,0.4769182,,,,,,,,,,,,
y,1,0.3365494,,,,1,x,0.5053196,,,,,,,,,,,,
y,1,0.3165566,,,,1,x,0.5033589,,,,,,,,,,,,
y,1,0.3867275,,,,1,y,0.2628446,,,,,,,,,,,,
y,1,0.4092913,,,,1,x,0.400400001,,,,,,,,,,,,
x,1,0.7006431,,,,1,x,0.428477201,,,,,,,,,,,,
x,1,0.420231501,,,,1,y,0.3435218,,,,,,,,,,,,
y,1,0.3006851,,,,1,y,0.3176346,,,,,,,,,,,,
y,1,0.386846,,,,1,y,0.2993274,,,,,,,,,,,,
y,1,0.4203772,,,,1,y,0.3559643,,,,,,,,,,,,
x,1,1.6005921,,,,1,y,0.362232801,,,,,,,,,,,,
x,1,0.3212695,,,,1,x,0.3740907,,,,,,,,,,,,
y,1,0.4025245,,,,1,x,0.5594368,,,,,,,,,,,,
x,1,0.364083,,,,1,x,0.5312695,,,,,,,,,,,,
x,1,0.303036001,,,,1,x,0.5414568,,,,,,,,,,,,
y,1,0.473709401,,,,1,x,0.5481663,,,,,,,,,,,,
x,1,0.5059685,,,,1,y,0.3165566,,,,,,,,,,,,
y,1,0.3431404,,,,1,y,0.3867275,,,,,,,,,,,,
y,1,0.4027388,,,,1,y,0.4092913,,,,,,,,,,,,
x,1,0.648988199,,,,1,x,0.420231501,,,,,,,,,,,,
y,1,0.3485364,,,,1,y,0.386846,,,,,,,,,,,,
