cue,key_resp.corr,key_resp.rt,,,,key_resp.corr,cue,key_resp.rt,,,,pasted as value avg rt,,,,key_resp.corr,cue,key_resp.rt,task_switch_type,,key_resp.corr,cue,key_resp.rt,task_switch_type
x,1,0.5563424,,,,1,x,0.8349316,,,,,,,,1,x,0.6091868,,,1,x,0.7817833,easy_to_hard
y,1,0.4156723,,,,1,x,2.0506114,,,,,,,,1,x,0.6848296,,,1,y,0.6363372,hard_to_easy
x,1,0.6001437,,,,1,x,1.0607304,,,,,,,,1,y,0.4415812,hard_to_easy,,1,x,0.7436352,easy_to_hard
x,1,0.6091868,,,,1,x,0.5912275,,,,,,,,1,x,0.7324505,easy_to_hard,,1,y,0.5461292,hard_to_easy
x,1,0.6848296,,,,1,x,0.9369337,,,,,,,,1,y,0.2858889,hard_to_easy,,1,x,0.6795415,easy_to_hard
y,1,0.4415812,,,,1,x,0.8079875,,,,,,,,1,y,0.3164062,,,1,y,0.370604,hard_to_easy
x,1,0.7324505,,,,1,x,0.7817833,,,,,,,,1,y,0.3832112,,,1,x,0.8210724,easy_to_hard
y,1,0.2858889,,,,1,x,0.7436352,,,,,,,,1,y,0.4029877,,,1,y,0.3758902,hard_to_easy
y,1,0.3164062,,,,1,x,0.6795415,,,,,,,,1,x,0.8402387,easy_to_hard,,1,x,0.6097918,easy_to_hard
y,1,0.3832112,,,,1,x,0.8210724,,,,,,,,1,y,0.4218184,hard_to_easy,,1,y,0.36218,hard_to_easy
y,1,0.4029877,,,,1,x,0.6097918,,,,,,,,1,x,0.4028817,easy_to_hard,,,,,
x,1,0.8402387,,,,1,y,0.6721192,,,,,,,,1,x,0.4501157,,,,,,
y,1,0.4218184,,,,1,y,0.3888908,,,,,,,,1,x,0.6593788,,,,,,
x,1,0.4028817,,,,1,y,0.5785442,,,,,,,,1,y,0.4222932,hard_to_easy,,,,,
x,1,0.4501157,,,,1,x,0.6726159,,,,,,,,1,y,0.2811654,,,,,,
x,1,0.6593788,,,,1,x,0.7715188,,,,,,,,1,y,0.3098717,,,,,,
y,1,0.4222932,,,,1,x,0.6828095,,,,,,,,1,x,0.4506226,easy_to_hard,,,,,
y,1,0.2811654,,,,1,y,0.4825358,,,,,,,,1,x,0.5044344,,,,,,
y,1,0.3098717,,,,1,x,0.6162043,,,,,,,,1,x,0.4745213,,,,,,
x,1,0.4506226,,,,1,x,0.5597727,,,,,,,,1,x,0.612566,,,,,,
x,1,0.5044344,,,,1,x,0.9108542,,,,,,,,1,y,1.2022033,hard_to_easy,,,,,
x,1,0.4745213,,,,1,y,0.3493079,,,,,,,,1,y,0.3476058,,,,,,
x,1,0.612566,,,,1,x,0.5168727,,,,,,,,1,x,0.8349316,easy_to_hard,,,,,
y,1,1.2022033,,,,1,y,0.3405472,,,,,,,,1,x,2.400455,,,,,,
y,1,0.3476058,,,,1,y,0.3200751,,,,,,,,1,y,0.49181,hard_to_easy,,,,,
x,1,0.8349316,,,,1,x,0.7246983,,,,,,,,1,x,2.0506114,easy_to_hard,,,,,
y,0,0.314174,,,,1,x,0.3537726,,,,,,,,1,y,0.5199897,hard_to_easy,,,,,
y,0,0.3377115,,,,1,x,0.4232657,,,,,,,,1,y,0.3371786,,,,,,
x,0,0.7585341,,,,1,y,0.3502874,,,,,,,,1,x,1.0607304,easy_to_hard,,,,,
x,1,2.400455,,,,1,y,0.3117199,,,,,,,,1,x,0.6799473,,,,,,
y,1,0.49181,,,,1,x,0.6733231,,,,,,,,1,y,0.5542981,hard_to_easy,,,,,
x,1,2.0506114,,,,1,x,0.6091868,,,,,,,,1,y,0.3845309,,,,,,
y,1,0.5199897,,,,1,x,0.6848296,,,,,,,,1,x,0.5912275,easy_to_hard,,,,,
