cue,key_resp.corr,key_resp.rt,,,key_resp.corr,cue,key_resp.rt,,,,pasted as values rt,,,key_resp.corr,cue,key_resp.rt,task_switch_type,,,key_resp.corr,cue,key_resp.rt,task_switch_type
x,0,2.715907101,,,1,x,1.340623501,,,,,,,1,x,0.4923562,easy_to_hard,,,1,y,0.4127934,hard_to_easy
y,1,0.6672797,,,1,x,0.4083553,,,,,,,1,y,0.418096,hard_to_easy,,,1,x,0.4958678,easy_to_hard
x,1,0.4923562,,,1,x,0.4958678,,,,,,,1,x,0.5392274,easy_to_hard,,,1,y,0.3958751,hard_to_easy
y,1,0.418096,,,1,x,0.4456049,,,,,,,1,x,0.4167381,,,,1,x,0.4456049,easy_to_hard
x,1,0.5392274,,,1,y,0.4228814,,,,,,,1,y,0.4369247,hard_to_easy,,,,,,
x,1,0.4167381,,,1,y,0.4185533,,,,,,,1,y,0.428344101,,,,,,,
y,1,0.4369247,,,1,y,0.356183001,,,,,,,1,y,0.3298895,,,,,,,
y,1,0.428344101,,,1,x,0.426247,,,,,,,1,x,1.2510772,easy_to_hard,,,,,,
y,1,0.3298895,,,1,y,0.3632569,,,,,,,1,y,0.302510899,hard_to_easy,,,,,,
x,1,1.2510772,,,1,y,0.3118354,,,,,,,1,x,0.734393899,easy_to_hard,,,,,,
y,1,0.302510899,,,1,x,0.5196648,,,,,,,1,y,0.3021863,hard_to_easy,,,,,,
x,1,0.734393899,,,1,x,0.6233721,,,,,,,1,x,1.0600631,easy_to_hard,,,,,,
y,1,0.3021863,,,1,x,0.6829737,,,,,,,1,x,0.712333701,,,,,,,
x,1,1.0600631,,,1,y,0.381429801,,,,,,,1,x,0.71485,,,,,,,
x,1,0.712333701,,,1,y,0.3186333,,,,,,,1,x,0.5812682,,,,,,,
x,1,0.71485,,,1,y,0.3330767,,,,,,,1,x,0.461830799,,,,,,,
x,1,0.5812682,,,1,x,0.5666679,,,,,,,1,x,0.6402191,,,,,,,
x,1,0.461830799,,,1,x,0.6115891,,,,,,,1,y,0.3950305,hard_to_easy,,,,,,
x,1,0.6402191,,,1,x,0.9308249,,,,,,,1,y,0.2795357,,,,,,,
y,1,0.3950305,,,1,y,0.3528811,,,,,,,1,y,0.265636,,,,,,,
y,1,0.2795357,,,1,y,0.2909319,,,,,,,1,y,0.3497275,,,,,,,
y,1,0.265636,,,1,x,0.3487106,,,,,,,1,y,0.3987485,,,,,,,
y,1,0.3497275,,,1,x,0.3572219,,,,,,,1,x,0.6788136,easy_to_hard,,,,,,
y,1,0.3987485,,,1,y,0.470927699,,,,,,,1,y,0.3604277,hard_to_easy,,,,,,
x,1,0.6788136,,,1,y,0.4082241,,,,,,,1,x,0.6816656,easy_to_hard,,,,,,
y,1,0.3604277,,,1,x,0.6199095,,,,,,,1,y,0.392203701,hard_to_easy,,,,,,
x,1,0.6816656,,,1,x,0.5934738,,,,,,,1,x,0.7889386,easy_to_hard,,,,,,
y,1,0.392203701,,,1,x,0.6794489,,,,,,,1,y,0.405310499,hard_to_easy,,,,,,
x,1,0.7889386,,,1,y,0.3123686,,,,,,,1,x,0.5728823,easy_to_hard,,,,,,
y,1,0.405310499,,,1,y,0.3231877,,,,,,,1,x,0.7287938,,,,,,,
x,1,0.5728823,,,1,y,0.3200038,,,,,,,1,y,0.4176721,hard_to_easy,,,,,,
x,1,0.7287938,,,1,x,0.4911973,,,,,,,1,x,0.7877324,easy_to_hard,,,,,,
y,1,0.4176721,,,1,y,0.6672797,,,,,,,1,x,0.620347501,,,,,,,
x,1,0.7877324,,,1,x,0.4167381,,,,,,,1,x,0.400419001,,,,,,,
x,1,0.620347501,,,1,y,0.428344101,,,,,,,1,y,0.4378059,hard_to_easy,,,,,,
x,1,0.400419001,,,1,y,0.3298895,,,,,,,1,y,0.3590133,,,,,,,
y,0,0.3283089,,,1,x,0.712333701,,,,,,,1,y,0.387347099,,,,,,,
y,1,0.4378059,,,1,x,0.71485,,,,,,,1,x,0.5741864,easy_to_hard,,,,,,
y,1,0.3590133,,,1,x,0.5812682,,,,,,,1,y,0.407032399,hard_to_easy,,,,,,
y,1,0.387347099,,,1,x,0.461830799,,,,,,,1,y,0.4307553,,,,,,,
x,1,0.5741864,,,1,x,0.6402191,,,,,,,1,y,0.4217059,,,,,,,
y,1,0.407032399,,,1,y,0.2795357,,,,,,,1,x,0.875820001,easy_to_hard,,,,,,
y,1,0.4307553,,,1,y,0.265636,,,,,,,1,x,0.6205452,,,,,,,
y,1,0.4217059,,,1,y,0.3497275,,,,,,,1,x,0.4969837,,,,,,,
x,1,0.875820001,,,1,y,0.3987485,,,,,,,1,x,0.6103042,,,,,,,
x,1,0.6205452,,,1,x,0.7287938,,,,,,,1,x,1.7305577,,,,,,,
x,1,0.4969837,,,1,x,0.620347501,,,,,,,1,x,0.449123899,,,,,,,
y,0,0.392140499,,,1,x,0.400419001,,,,,,,1,y,0.4454584,hard_to_easy,,,,,,
x,1,0.6103042,,,1,y,0.3590133,,,,,,,1,x,0.4556598,easy_to_hard,,,,,,
x,1,1.7305577,,,1,y,0.387347099,,,,,,,1,y,0.3630834,hard_to_easy,,,,,,
x,1,0.449123899,,,1,y,0.4307553,,,,,,,1,y,0.6612718,,,,,,,
y,1,0.4454584,,,1,y,0.4217059,,,,,,,1,y,0.4289993,,,,,,,
x,1,0.4556598,,,1,x,0.6205452,,,,,,,1,y,0.9851662,,,,,,,
y,1,0.3630834,,,1,x,0.4969837,,,,,,,1,x,1.340623501,easy_to_hard,,,,,,
y,1,0.6612718,,,1,x,0.6103042,,,,,,,1,x,1.1198065,,,,,,,
y,1,0.4289993,,,1,x,1.7305577,,,,,,,1,x,0.5029649,,,,,,,
y,1,0.9851662,,,1,x,0.449123899,,,,,,,1,y,0.4015244,hard_to_easy,,,,,,
x,1,1.340623501,,,1,y,0.6612718,,,,,,,1,x,0.4083553,easy_to_hard,,,,,,
x,1,1.1198065,,,1,y,0.4289993,,,,,,,1,x,0.994661001,,,,,,,
y,0,0.4897124,,,1,y,0.9851662,,,,,,,1,y,0.4127934,hard_to_easy,,,,,,
x,1,0.5029649,,,1,x,1.1198065,,,,,,,1,y,0.3171488,,,,,,,
y,1,0.4015244,,,1,x,0.5029649,,,,,,,1,x,0.4958678,easy_to_hard,,,,,,
x,1,0.4083553,,,1,x,0.994661001,,,,,,,1,y,0.3958751,hard_to_easy,,,,,,
x,1,0.994661001,,,1,y,0.3171488,,,,,,,1,y,0.316076901,,,,,,,
y,1,0.4127934,,,1,y,0.316076901,,,,,,,1,x,0.4456049,easy_to_hard,,,,,,
y,1,0.3171488,,,1,x,0.6092188,,,,,,,1,x,0.6092188,,,,,,,
x,1,0.4958678,,,,,,,,,,,,,,,,,,,,,
y,1,0.3958751,,,,,,,,,,,,,,,,,,,,,
y,1,0.316076901,,,,,,,,,,,,,,,,,,,,,
x,1,0.4456049,,,,,,,,,,,,,,,,,,,,,
x,1,0.6092188,,,,,,,,,,,,,,,,,,,,,
