cue,key_resp.corr,key_resp.rt,,,key_resp.corr,cue,key_resp.rt,,,,pasted as values rt,,,,key_resp.corr,cue,key_resp.rt,task_switch_type,,key_resp.corr,cue,key_resp.rt,task_switch_type
y,1,0.334454199,,,1,x,0.542934,,,,,,,,1,x,0.697287,easy_to_hard,,1,x,0.8807809,easy_to_hard
x,1,0.6695338,,,1,x,0.5673841,,,,,,,,1,y,0.4360721,hard_to_easy,,1,y,0.4202532,hard_to_easy
x,1,0.507829,,,1,x,0.7472705,,,,,,,,1,x,0.4898801,easy_to_hard,,1,x,0.6518456,easy_to_hard
y,1,0.374481901,,,1,x,0.501665699,,,,,,,,1,y,0.4461449,hard_to_easy,,1,y,0.4128793,hard_to_easy
x,1,0.697287,,,1,x,0.526529999,,,,,,,,1,x,0.4982677,easy_to_hard,,1,x,0.7447101,easy_to_hard
y,1,0.4360721,,,1,x,0.4506518,,,,,,,,1,y,0.4247452,hard_to_easy,,1,y,0.369703,hard_to_easy
x,1,0.4898801,,,1,x,0.5936872,,,,,,,,1,y,0.314985001,,,1,x,0.6295413,easy_to_hard
y,1,0.4461449,,,1,x,0.8807809,,,,,,,,1,x,1.759342699,easy_to_hard,,1,y,0.3986938,hard_to_easy
x,1,0.4982677,,,1,x,0.6518456,,,,,,,,1,x,0.419480699,,,1,x,0.557922,easy_to_hard
x,0,0.6364298,,,1,x,0.7447101,,,,,,,,1,y,0.451307,hard_to_easy,,1,y,0.3695673,hard_to_easy
y,1,0.4247452,,,1,x,0.6295413,,,,,,,,1,y,0.4011144,,,1,x,0.3856018,easy_to_hard
y,1,0.314985001,,,1,x,0.557922,,,,,,,,1,x,1.3553729,easy_to_hard,,1,y,0.398828999,hard_to_easy
x,0,0.5311723,,,1,x,0.3856018,,,,,,,,1,y,0.4668845,hard_to_easy,,1,x,0.783483,easy_to_hard
x,1,1.759342699,,,1,x,0.783483,,,,,,,,1,x,0.4706851,easy_to_hard,,1,y,0.3679482,hard_to_easy
y,0,0.3223456,,,1,x,0.6743259,,,,,,,,1,y,0.5139017,hard_to_easy,,1,x,0.6743259,easy_to_hard
x,1,0.419480699,,,1,x,0.4923584,,,,,,,,1,x,0.542934,easy_to_hard,,,,,
