test,textbox.text,accuracy,conditions,,,,
s_o_,,0,non_prime,,proportion of hit in prime words,9,0.45
c_s_i_n,cushion,1,prime,,proportion of hit in non_prime words,6,0.3
g_a_s,,0,non_prime,,priming score,,0.15
t_b_e,table,1,prime,,,,
t_g_r,tiger,1,prime,,,,
p_n_i_,pencil,1,non_prime,,,,
p_an_,piano,1,prime,,,,
I_f_,,0,non_prime,,,,
l_n_h,lunch,1,prime,,,,
p_rr_t,parrot,1,prime,,,,
_r_e,tree,1,non_prime,,,,
_ap_y,happy,1,prime,,,,
c_k_,,0,non_prime,,,,
b_r_,bird,1,non_prime,,,,
v_s_,vase,1,prime,,,,
c_o_k,clock,1,non_prime,,,,
b_o_,,0,prime,,,,
s_i_t,shirt,1,non_prime,,,,
cl_s_,class,1,prime,,,,
_i_h_,light,1,non_prime,,,,
