study_word,conditions,correct_rep,test,textbox.text,,,conditions,correct_rep,,,conditions,correct_rep,,,conditions,correct_rep,,conditions,correct_rep,,conditions,correct_rep
,prime,1,_ap_y,happy,,,,,,,,,,,,,,,,,,
,non_prime,0,c_k_,,,,,,,,,,,,,,,,,,,
,non_prime,1,g_a_s,glass,,,,,,,,,,,,,,,,,,
,prime,1,c_s_i_n,cushion,,,,,,,,,,,,,,,,,,
,non_prime,1,s_i_t,shirt,,,,,,,,,,,,,,,,,,
,non_prime,1,p_rr_t,parrot,,,,,,,,,,,,,,,,,,
,non_prime,1,c_o_k,clock,,,,,,,,,,,,,,,,,,
,non_prime,1,p_n_i_,pencil,,,,,,,,,,,,,,,,,,
,non_prime,1,I_f_,lift,,,,,,,,,,,,,,,,,,
,prime,1,b_o_,book,,,,,,,,,,,,,,,,,,
,prime,1,p_an_,piano,,,,,,,,,,,,,,,,,,
,prime,1,c_l_s_,class,,,,,,,,,,,,,,,,,,
,prime,1,v_s_,vase,,,,,,,,,,,,,,,,,,
